team_name_home,2019 w % h,2019 w % a,2019 pts diff (home),2019 pts diff(away),2020 w % h,2020 w % a,2020 pts diff (home),2020 pts diff(away),2021 w % h,2021 w % a,2021 pts diff (home),2021 pts diff(away),2022 w % h,2022 w % a,2022 pts diff (home),2022 pts diff(away),2023 w % h,2023 w % a,2023 pts diff (home),2023 pts diff(away)
ATL,0.412,0.182,-2.8,-13.4,0.694,0.444,6.3,-1.7,0.659,0.39,5,-1.9,0.585,0.415,2.2,-1.7,0.512,0.366,1.1,-5.4
BOS,0.722,0.611,8.2,4.4,0.583,0.417,3,-0.1,0.683,0.561,7,7.6,0.78,0.61,10,3,0.902,0.659,15.2,7.5
BKN,0.556,0.417,1.8,-2.9,0.778,0.556,6.4,2.5,0.488,0.585,-2.1,3.6,0.561,0.537,3,-1.3,0.488,0.293,1.2,-7
CHA,0.323,0.382,-5.3,-8.1,0.5,0.417,-0.1,-3.8,0.537,0.512,1.5,-0.5,0.317,0.341,-6.9,-5.5,0.268,0.244,-8,-12.4
CHI,0.412,0.258,-1.5,-4.9,0.417,0.444,-1.7,-0.1,0.659,0.463,2.4,-3.2,0.537,0.439,2.8,-0.3,0.488,0.463,-0.2,-2.8
CLE,0.306,0.276,-6.5,-9.6,0.361,0.25,-6.8,-10,0.61,0.463,4.4,-0.2,0.756,0.488,8.2,2.5,0.634,0.537,4,0.9
DAL,0.526,0.622,4.9,5,0.583,0.583,0.3,4.2,0.707,0.561,6.3,0.3,0.561,0.366,2.7,-2.5,0.61,0.61,3.7,0.8
DEN,0.703,0.556,4.2,-0.1,0.694,0.611,6.5,3.4,0.561,0.61,2.4,2.3,0.829,0.463,9.8,-3.1,0.805,0.585,9.8,0.7
DET,0.333,0.273,-2.1,-5,0.361,0.194,-3,-5.9,0.317,0.244,-5.1,-10.3,0.22,0.195,-6.2,-10.2,0.175,0.167,-8.1,-10.1
GSW,0.235,0.226,-8.7,-8.8,0.694,0.389,5.2,-3.1,0.756,0.537,9.9,1.2,0.805,0.268,8,-4.3,0.512,0.61,0.7,4.5
HOU,0.667,0.556,5.4,0.5,0.25,0.222,-8.5,-7.3,0.268,0.22,-6.8,-10.2,0.341,0.195,-4.3,-11.3,0.659,0.341,5.3,-3.1
IND,0.694,0.541,5.1,-1.1,0.361,0.583,-2.8,2.7,0.39,0.22,-0.6,-6.4,0.488,0.366,-0.8,-5.6,0.634,0.512,6.8,-0.8
LAC,0.75,0.611,8.5,4.4,0.722,0.583,8,4.3,0.61,0.415,2.5,-2.4,0.561,0.512,2.1,-1.2,0.61,0.634,3,3.6
LAL,0.714,0.75,7.4,4.2,0.583,0.583,3.5,2,0.512,0.293,-0.5,-5.6,0.561,0.488,3.2,-2.1,0.667,0.475,4.4,-3.4
MEM,0.541,0.389,1.3,-3.4,0.5,0.556,-0.6,2.7,0.732,0.634,9.2,2.2,0.854,0.39,10.6,-2.8,0.22,0.439,-7.3,-6.6
MIA,0.806,0.405,8.8,-2.8,0.583,0.528,0.5,-0.4,0.707,0.585,5.6,3.4,0.659,0.415,1.2,-1.8,0.537,0.585,1.9,1.5
MIL,0.857,0.684,13.3,7.1,0.722,0.556,7.7,4.1,0.659,0.585,4.2,2.5,0.78,0.634,6.3,0.9,0.738,0.45,6.4,-1.3
MIN,0.25,0.384,-4.6,-3.8,0.361,0.278,-6.2,-4.9,0.634,0.488,5,0.2,0.537,0.488,0.9,-1,0.732,0.634,8.3,4.7
NOP,0.417,0.417,1.3,-3.9,0.5,0.361,1.4,-2,0.463,0.415,1.4,-3.3,0.659,0.366,5,-1.2,0.525,0.667,3.5,5.4
NYK,0.333,0.303,-5.1,-7.8,0.694,0.444,4.2,0.5,0.415,0.488,-1.5,1.3,0.561,0.585,4.3,1.6,0.659,0.561,5.9,3.3
OKC,0.622,0.6,4.2,-0.4,0.278,0.333,-12.1,-9.2,0.293,0.293,-6.3,-9.8,0.585,0.39,5.2,-3,0.805,0.585,12.9,1.8
ORL,0.514,0.395,-0.3,-1.6,0.306,0.278,-9,-9.6,0.293,0.244,-8.1,-7.9,0.488,0.341,-0.4,-4.7,0.707,0.439,7.6,-3.6
PHI,0.886,0.316,9,-3.7,0.806,0.556,8.9,2.2,0.585,0.659,3.1,2.1,0.707,0.61,4.7,3.9,0.61,0.537,4.9,1.2
PHX,0.436,0.5,1.9,-1.7,0.75,0.667,8.9,2.6,0.78,0.78,8.9,6.1,0.683,0.415,4.9,-0.7,0.61,0.585,3,3.2
POR,0.583,0.368,2,-4.2,0.556,0.611,1.2,2.3,0.415,0.244,-5,-12.7,0.415,0.39,-3.7,-4.3,0.268,0.244,-6.7,-11.4
SAC,0.457,0.405,-1.8,-2.3,0.444,0.417,-4.4,-2.9,0.39,0.341,-4.1,-6.9,0.561,0.61,3.3,2.1,0.585,0.537,2.2,1.2
SAS,0.559,0.351,1.8,-3.8,0.389,0.528,-3.3,-0.2,0.39,0.439,-0.2,0.4,0.341,0.195,-6.3,-13.7,0.293,0.244,-4.2,-8.8
TOR,0.722,0.75,8,4.5,0.444,0.306,1.5,-2.5,0.585,0.585,4.2,0.4,0.659,0.341,4.7,-1.7,0.341,0.268,-6,-6.8
UTA,0.657,0.568,3.9,1.1,0.861,0.583,13.2,5.3,0.707,0.488,9.9,2.2,0.561,0.341,1,-2.9,0.512,0.244,1.7,-11.5
WAS,0.444,0.25,-1.9,-7.5,0.528,0.417,-0.1,-3.6,0.512,0.341,-0.6,-6.2,0.463,0.39,-0.4,-2,0.171,0.195,-9.1,-9.5
